source_text,target_text,predicted,original
"OK...time to stop twitpicing and posterousing and get back to work...after all, I've got a website to get up!!",positive,positive,positive
@Kristens_Game pink fun in Cleveland they brought them for me from their travels,positive,positive,positive
Had a dream all my teeth were falling out not good.,negative,negative,negative
"I lost my on a good day cd that i bought on the streets of chicago, lets hope that itll give the person who finds it a good day.",negative,negative,negative
@nishita1 thankss!!!,positive,positive,positive
I wish growing grass was as easy as designing a brochure for me. I'd have one helluva lawn.,negative,negative,negative
"@Minax3sJB yeah, defffff.",positive,positive,positive
@luluBlondie207 Darlin' - you need a picture!!,positive,positive,positive
@modeloasis I agree,positive,positive,positive
On my way back 2 the southside,positive,negative,positive
"@Richie_P Funnily enough, the recent Burnout Paradise 360 patch was about 900meg whereas the PS3 patch was under 200!",positive,positive,positive
I just wanted to say Thanks for the Follow! I hope that you're having a good weekend.,positive,positive,positive
@Rutto_chan i'm sorry for making you worried i promise u that i talk to u later but i need to get away for everyone now (...),negative,negative,negative
@rambodoc So what is the alternative you propose. Do you say that Those who don't have money has to die without any treatment,negative,negative,negative
There's a really annoying bird nested in a tree near my office window and it's making a noise like a evil dentist's drill,negative,negative,negative
@KatyMoeller I am lost. Please help me find a good home.,negative,negative,negative
"@LadyCromwell Glad you like it, when i find something useful I share it, it can only do good",positive,positive,positive
no one here yet...way too nice out! come in later and tell me what u did while i was inside,negative,negative,negative
Yay for you! =D i still have 2 weeks...,negative,positive,negative
"Good night Twitter..tty at 6, 7, 8, or 9 am...lol",positive,positive,positive
"Off to church soon, then breakfast, then home, then my cousin's baby shower! Busy Sunday lol",positive,positive,positive
"I'm playing Scrabble with friends on Facebook, only I can't cos it's region-locked and I'm in the US Don't they know the web is global",negative,negative,negative
Happy Global Wind Day! Wind power videos... to empower our minds http://sn.im/k5wcq,positive,positive,positive
hay fever is bloody bad today,negative,negative,negative
@Amanda_Ratliff sorry to hear that. i am hoping my insomnia is just temporary....it's been driving me nuts.,negative,negative,negative
Community service between 2 and 4,negative,positive,negative
@joshthejouster any hottties? At least there's only 20 mins left.,positive,positive,positive
@katyperry lil 3D sushis on ur nails?! whoa cool,positive,positive,positive
busting out some volunteer hours this afternoon @ RSPCA. just found someone's dog for them,positive,positive,positive
@cdeepak i didnt like urchin before google bought it. check out http://mcc.hitslink.com,positive,positive,positive
Omg I'm going camping on saturday yay woohoo,positive,positive,positive
@NeeCee75 yeah i just saw that. WTH??? Tweatdeck hasnt worked in over an hour!! not liking this at all.,negative,negative,negative
happy birthday Norway,positive,positive,positive
And it begins again,positive,positive,positive
Don't forgot to check my blog out. Www.aidenashblogspot.com,positive,positive,positive
now i'd only need to find some jeans,negative,positive,negative
"Im back Guys,, Laying in the hotel soooooo excited about so many things.!! But i havent heard from sweetface... ...... :-*",negative,negative,negative
"@bcyde I still haven't figured out what to do with them, sadly So It'll take some more research before I know what's what.",negative,negative,negative
"@Tanya_Tanya ugh, hope you didn't watch the us-brazil match.",negative,negative,negative
"Fine Arts Fest, whipped cream, and toasting Shakespeare - my day ended well.",positive,positive,positive
"I feel so bad for the family of the little boy who died from E.coli He even went to carpenter's elementary, that is sad :/",negative,negative,negative
Denny's on First and Shaw: after booze and dance eatin'. I'd much rather be at Tommy's Joynt or the Grubstake in SF,negative,positive,negative
@zbuffer don't think I can,positive,negative,positive
off to watch chloe and caden soo happy i havent seen them since tuesday stupid tummy flu yay ... today,negative,negative,negative
Got to go to fucking Essex today anyone know what the dartford toll is now?,negative,negative,negative
@LeftCoastMama We've been thinking that too Any recommendations?,positive,positive,positive
Hope you all enjoyed the show - laterz people Have a great weekend. Forecast says hotter than Spain here in the UK!!,positive,positive,positive
@Blocknurse Awwww thanks Donna!!!,positive,positive,positive
56 min till home time and counting! I have a craving to visit the MAC store but they will have closed by the time I get there,negative,negative,negative
"@Angela_89 - Oh, I know! Why is CSI so much more accepted? Whenever I watch CSI I'm like yeah, yeah, that's how it happened. But WHY??",positive,positive,positive
@MediaCoach style is everything,positive,positive,positive
miss my hubby already!,negative,negative,negative
@delaney_55 oh please you are so young. You are going to be a young grandma.,positive,positive,positive
"@badbanana haha, great made my day!",positive,positive,positive
I hate that when your trying to find something your sure you bookmarked but its not there,negative,negative,negative
I almost lost my finger to the ceiling fan.. it really hurts.,negative,negative,negative
@BlowhornOz thank you!!! then i will buy it for my computer,positive,positive,positive
@MaxxMaz txtin her right now she started laughing at my signiture.,negative,negative,negative
my mum just dragged me out of bed,negative,negative,negative
Bed time for age,positive,positive,positive
@artguido LMAO...yes yes - of course...only you would want that!,positive,positive,positive
man i am not looking forward to work in the morning. my weekend went by WAY too fast,negative,negative,negative
can't wait for everyone to taste my cookies for the bake sale,positive,positive,positive
Oh y do I work on a nice day and we rt busier then hell,negative,negative,negative
is so proud of manny pacquiao! amazing fight!,positive,positive,positive
@THeatrenut blue and green of course,positive,positive,positive
done with homework.... its gonna be quite warm today!,positive,positive,positive
@werwatchingu OK I guess I'll see you guys later good night,positive,positive,positive
@foreverurgurl don't be! You'll be fine just have fun. Its such a fun experience,positive,positive,positive
#calcpacouncil 42 states have passed mobility legislation. 48 states 150-hour rule. California is a holdout on both,negative,negative,negative
Quite worried about my fiance. He's all poorly and there's nothing I can do to help.,negative,negative,negative
@Ohh_itsKat lol u r awesome! sounds like your having fun,positive,positive,positive
"I quite enjoy this Lady Gaga person. She's of Italian heritage, apparently. ? http://blip.fm/~5z3co",positive,positive,positive
"Remember the lessons you've learned....things that hurt, teach",positive,positive,positive
@ArielXanhGecko : so where do you live in Viet Nam ? I wanna know so much,positive,negative,positive
"Why do we spend so much money on a holiday this summer, when we can spend them on ha trip to LA next year...?",negative,negative,negative
I think I'm getting car sick,negative,negative,negative
@mdrisser Anytime! Let me know if you need anything.,positive,positive,positive
"Watching soccer with daddy, gunna go out soon",positive,negative,positive
"@alvostockman Hey Mr.Stockman! Love your tricks, there great! Hope your reply !",positive,positive,positive
Blahh I was woken up but an I'm why do I forget I'm signed on sometiimes??,negative,negative,negative
Just received some bad news...A friend's father passed away suddenly this morning,negative,negative,negative
@MathieuTO My neighbour is fond of loud Nickelback.,negative,positive,negative
I just paid $20 in tax on a $158 textbook. I am not a happy person!,negative,negative,negative
Cait left we rode ponies. I'm jealous on how she doesn't ride for 10 months and remembers everything.,negative,negative,negative
@mlcisneros1 Congrats Matthew!!!,positive,positive,positive
Am thinking of going out Memorial Day. No work.,positive,positive,positive
"@Kelly208 So what do I fill the flasks with, Seagrams 7 or Bushmills? - Wait 2 flasks mean I can bring both!",positive,positive,positive
finally done with work! FOOD,positive,positive,positive
@Emmieman yeah it sounds good,positive,positive,positive
"@kiwibrit I couldn't make today. jetlag had me awake at 6am, then passed out at 9am. Ugh.",negative,negative,negative
@deaconblues1982 Testing PockeTwit,positive,positive,positive
@Jasonb324 I agree. Were deffo gonna do it next season. I can FEEL it!,positive,positive,positive
Looks like Villarreal might not be making it to the Champions League next season.,negative,negative,negative
@lingeriepr nobodys ever given me one! sounds crazy i know but i can only bust when I do it,negative,negative,negative
@justineawkward Show was alright. I had no service so I couldn't tweet you. We'll talk later though.,negative,negative,negative
@211me please,negative,positive,negative
"Feeling rejuvenated after 1,5 hours massage",positive,positive,positive
Help me and make me Happy! Subscribe!!!! And share it on your twitter! You get a big E-Hug from me http://youtube.com/cathystutorials,positive,positive,positive
@portlandriders I am lost. Please help me find a good home.,negative,negative,negative
I don't feel that good today..,negative,negative,negative
"@8bitjoystick Thanks for the heads up dude, I'll check it out. I love HDMI too, but my monitor for gaming doesn't have it",negative,negative,negative
"@RyanSeacrest Any more tour dates for Canada? only 2 so far, much too far no concert for me not a happy Glambert",negative,negative,negative
@TheDailyBlonde Twitter Brothel... I am surprised it took this long.,negative,negative,negative
@vxpresxv aww... me too,negative,negative,negative
I've been in Sighisoara but I don't recommend it. We don't know how to take care of what we have.,negative,negative,negative
oh darn. did i just use the wrong grammar there? shucks.,negative,negative,negative
@tedmayhem Audi R8? Mmmmmm beautiful car,positive,positive,positive
@JaneLebak Poor little boy. Hopefully he'll get better at it as he grows up.,negative,negative,negative
A black cloud is following me literally. xD,negative,negative,negative
@DouglasFabian is an amazing singer! Check him out! Douglas; I've fallen in love with ur voice,positive,positive,positive
@JayElectronica WOW STRANGER LOL OK I HOPE U FEEL BETTER,positive,positive,positive
@Paullebars Mine is amazing - still glowing from a very spiritual weekend of love &amp; friendship,positive,positive,positive
I want coffee really bad right now!!!!,negative,negative,negative
HTC touch diamond 2 = teh sex. me = teh broke,negative,negative,negative
"@thatswedishgirl you'll be home soon enough, toots.x",negative,positive,negative
want pancakes,negative,negative,negative
@SuraGeorge That was wishful thinking cause its still coming down,negative,negative,negative
n the middle of watchin Wall-E for the first time...sad bc i just found out a friend from hs passed away - cant finish Wall-E now...,negative,negative,negative
is enjoyin a glass of champagne,positive,positive,positive
"@yolie81 so cool to have you in the twibe Y' u rock, we're gonna have some fun making a difference http://twibes.com/GreenTeam4Change",positive,positive,positive
@tristinhsu Mr.Hsu!! u're on twitter welcome!,positive,positive,positive
awww i hate look sad my frieeeends! First Marien&amp;theen Chioo you'll put me sad toooo!,negative,negative,negative
really bored... and its only 9:17.. I need to do something today.,negative,negative,negative
"@misterdevans I have a very short attention span, only 140 characters long...",positive,negative,positive
55 seconds for my page to reload. &lt;wishes he had not shaved his head so he would have hair to pull out&gt;,negative,negative,negative
@stephaniepratt short black dress for sureee. it looks gorgeous on you,positive,positive,positive
@momdel Lol You'll be alright!,positive,positive,positive
Derby day woo!,positive,positive,positive
#ecomonday @candita @smilinggreenmom @greenmoms @mcmilker @chrisecoprint @Nature_org @greenupgrader,positive,positive,positive
@shark_slys ?understood you're from India. and are you also a Bangalore-like iT guy? am just curious,positive,positive,positive
Dont let babies play with remotes! We cant find ours,negative,negative,negative
have to go to school tomorrow again,negative,negative,negative
@ringleaderr http://twitpic.com/3oz2s - ahahaa i live like 2 blocks away from the americana and yet i didn't even get to see fred hahaha,negative,negative,negative
That Toy Story Ride that was on Disney365 when Demi went on was just as fun as it looked,positive,positive,positive
@annzoo: And you said I was the weird one who couldn't read!!!,negative,negative,negative
Power to levitate?.... still negative.,negative,negative,negative
@aurihunter yea i watch it everytime it come on tv...i cant pick my fav part though,negative,negative,negative
@jordanknight YOU GUYS LOOK SO DAMN FINE IN SUITS,positive,negative,positive
@Michelle___C do it you wont be sorry!,positive,positive,positive
Today i'm missing metallica,negative,negative,negative
"nope, it's all changed. new lessons and shiz. i have a lot of double historys but many frees before lunch. fingers crossed they're same!",negative,negative,negative
goodnght tweeties who don't pay attention to anything i write! byeeeeeeeeee,negative,positive,negative
Siwy Madeleine Cutoff Shorts is growing on me http://bit.ly/pBuhe,positive,positive,positive
@annemarie5353 No dress code= nice! Lonely and boring= not so nice. Come to NY and visit me! ROAD TRIP!,negative,positive,negative
uploading a video in youtube,positive,positive,positive
@kodaknharlem seee i told u facebook was the truth just run along bff and sign up,positive,positive,positive
"And after voting, i go canoeing. Unfortunately the weather is quite bad #outdoorsport",negative,negative,negative
tryin to figure out how to use twitter...and wondering y photos are nt uploading...,negative,negative,negative
@mcflyharry http://twitpic.com/3wbjr - what have you done to poor tom,negative,negative,negative
Manohara Odelia Pinot is FREE now,positive,positive,positive
guess am the only one in the entire world who can go wrong even in cooking maggi (,negative,positive,negative
"@CFP_x It was such a stressful interview! They asked odd questions. Still, will hopefully find out next week!",negative,negative,negative
@lindyjomac Lindy i'm trying! no luck yet...,negative,negative,negative
@kirstiealley check our Marleycoffee.com and your DM!!! So did you call LV btw?,positive,positive,positive
one more week to enjoy parties.. next week i'll be busy again no more parties for me anymore,negative,negative,negative
"@MerewichDaBitch I've been unlocked for decades now...just not lucky, never have been. Gottta make my own luck and that involves $$$$$",negative,negative,negative
"@mikenyff I do like the Sennheiser MKH415, it's an older 416 w/ 12v power; an adapter is needed to normal XLR. Amazing audio thx to eBay",positive,positive,positive
"@morganmarie Ah, I see. Soup!? Always fun when u get something good offline and have it delivered (like a present to self of sorts).",positive,positive,positive
"Jogging, isnt REALLY that cool, especially if you've got a fever",negative,negative,negative
@Bizarre57 I cant stand those trees,negative,negative,negative
Taking a break at practice. I love her so much.,positive,positive,positive
@sylviebardoczi: i have to do like you!,positive,positive,positive
back at my cousin's grad party. just saw my link kid. Oh my gosh! My first batch of kids are high school graduates,positive,positive,positive
@bodylikemind hey how are you? xxx,positive,positive,positive
@joker47man what is that maybe im confused lol,negative,negative,negative
"@twitchinggrey of course I will not rest till I make Twilight sales numbers seem paltry, but of course that will take bit of time.",positive,positive,positive
"@foiledcupcakes it's just my eldest ... she's pretty out of it. I hadn't seen that show in yrs, it was still entertaining! LOL",negative,negative,negative
BEP - Missing you !! Great song !! http://dipdive.com/member/iamwill/blog/4697,positive,positive,positive
Watching Pee Wee's Big Adventure with the Kids. RIP Phil Hartman,negative,negative,negative
@kayla14xoox hooray for half day,positive,positive,positive
"Feeling ambitious Reworking the website, calling my biz associates to book - &quot;How to fund the growth of your business&quot;, finance training",positive,positive,positive
@chachizzle you talk too much,negative,negative,negative
"Planning lots of summer @junction49 sessions whilst listening to @passionpit... ahh. Full of cold today... need a duvet, soup and cuddles",negative,negative,negative
"In the car on the motorway, going to go shopping",positive,positive,positive
"I don't know what to do! I really wanna quit, but maybe I'll make next week my last week...maybe...*sighs* How'd I get myself into this?",negative,negative,negative
"@applev just don' my job, ma'am.",positive,positive,positive
The lens cost double of my frame. I'm blind as a bat n astigmatism is an old old friend of mine. http://mypict.me/5z2g,negative,negative,negative
enjoying the xbox 360 fun! free things really ARE worth what you pay for them!!,positive,positive,positive
Workin for 12 and a half hours today ABC after it but. Always good.,negative,negative,negative
@blobyblo wear a sandwich board that says &quot;FOLLOW ME ON TWITTER&quot; and walk around seoul,positive,positive,positive
@fireworksheart agreeeeeed,negative,positive,negative
Broke my screen on my phone sad day.,negative,negative,negative
@cathyrigby You could always swing by Office Depot to see me... Lol,negative,positive,negative
Up to my eyes in paperwok at the moment. Swine Flu really taking off in South Glasgow,negative,positive,negative
@xohanna nawww thats nice i like you to... ill quote you here 'but not in a lesbo way' lol (Y),positive,positive,positive
O no! The movie theater lost power and we're trying to watch UP! #trackle,negative,negative,negative
@syd_harb_kayaks Congrats Shannon on the birth of Billie Ella. The love of a daughter is the purest love a man will ever experience.,positive,positive,positive
Off to work now and last day of the easter holidays so back to college aswell tommorow,negative,negative,negative
@BreeOlson9 I'll give you one.,positive,positive,positive
I'm not a backstabber. Ugh. Idk what to dooooo,negative,negative,negative
Good Morning everyone http://plurk.com/p/xgclw,positive,positive,positive
Handy having Samaritans opposite for those dark days although i cant open the windows so quite safe,negative,positive,negative
doctor says inflammation of stomach lining. gave me meds for peptic ulcer,negative,negative,negative
Lol ok ok dank is NOT the equivalent of drank. Fuck,negative,positive,negative
@Justcillee watch a movie,positive,positive,positive
going to bed,positive,positive,positive
My desktop is finally clean packing day today!,positive,positive,positive
I miss my family in Texas,negative,negative,negative
I need some........... Its been too long,negative,negative,negative
"Woot. Looks like I'll be watching the last 2 episodes to 24, season 7 tonight",positive,negative,positive
@heidiheartshugs so not even &quot;I Kissed a Girl&quot; would convince you to join the train?,positive,negative,positive
no one's tweeting,negative,negative,negative
GRADUATED ! PUJI TUHAN ! THANKS GOD,positive,positive,positive
@sachin_cas i also feel the same,negative,negative,negative
"@WhiteHotTruth When you come to Atlanta, we have at LEAST four different streets named &quot;Peachtree&quot;. Knowing the cross st. won't help",negative,negative,negative
baking some cookies with my sister text me?!*,positive,positive,positive
"@Huffleduck So, the rule is to never shop while hungry, or you buy too much... does that also apply for ordering for delivery?",positive,positive,positive
last day of school,negative,negative,negative
just got home from the beach and sadly enough i left my celly there...i am out of contact with the outside for going on 13 hours,negative,negative,negative
"@Non_Pacem Several people are moving this summer, the one you would know is Jessi. She is moving to Cape Cod.",negative,positive,negative
@ashcoates http://twitpic.com/7jctu - Why are you taking an x-box?,positive,negative,positive
I lost my $20 bill I just got. Pretty sure it fell out of my back pocket and burgled from me. Sport event tonight in Katzweiler.,negative,negative,negative
Thanx @womeninbiz for the follow !,positive,positive,positive
@TheFaultySanity i just did it,positive,positive,positive
watchin' an airplane. want to fly away.,negative,negative,negative
kay bak 2 coursework at loik 1:57 am in da morn! Nice huh gt twitetrakd...come on R get dis finished with &amp; givem teachaz a shokoderlyf!,negative,positive,negative
@acsweeney That's just not right. i finally got to try mine and it's cold.,negative,negative,negative
@LJsBaby Good morning to you,positive,positive,positive
"@erinlinnea that sucks... i was asking about the constructions workers though, haha.",negative,negative,negative
@Sanrioluver well if I come back to the room n he's floating upside down I dunno what ill do. I'm gonna need u to take care of that,negative,negative,negative
so after my run I'm feeling a little sick,negative,negative,negative
"suppose i'll be off to bed.... bonne nuit mon amis, reves doux",positive,positive,positive
at work wondering when i will lose my job like everyone else,negative,negative,negative
"@SongzYuuup im in CT!!!! trey songz i love you and your music, i want you to put my number in YOUR phone",positive,positive,positive
school ends. I miss u all Yesterday was great,negative,negative,negative
Just got home....I am super tired. I think I am going to take 30 min nap,positive,positive,positive
@stoptheday haha thanks! maybe i'll consider it for reals then,positive,positive,positive
@drummrboy I can't,negative,negative,negative
I really want to modify the BIOS on this thing . WHY IS IT SO DIFFICULT. IT SHOULD WORK.,negative,negative,negative
@briannababyyy The Audition is playing here? DAMN! I work friday too,negative,negative,negative
Going to see the Cezanne and Beyond exhibit today at the Philadelphia Art Museum! Loving the sunshine today,positive,positive,positive
"I think I got a flu. Aw shit, not a good way to start a holiday",negative,negative,negative
@DSylvan your tweet was just included in The Longest Poem in the World www.longestpoemintheworld.com/tweet/12085/,positive,positive,positive
#PhilipGlass in 2.5 hours. So excited ? http://blip.fm/~4js4g,positive,positive,positive
feeling sick blaaaaaaaa *be sick*of school people would be jolly but iwont get the 100% attendce award it so cool and i wont get one,negative,negative,negative
Need To Have Fun So Bored x,negative,negative,negative
@lovemelissa whaaa. What did he do? I wanna know now though,negative,negative,negative
@CHRISDJMOYLES when are you heading back up to Leeds?,positive,negative,positive
@LostInInaka Turn R&amp;J into drinking game 2 keep you alert. Tally references w/ friends 4 l8r http://tinyurl.com/pbmkfr,positive,positive,positive
"@JackysPoodle Haha! Thanks for this arvo - loved it. See u soon Also, keep the 24th free if u can xx",positive,positive,positive
"@bradlinder one more reason to live in italy. here only sun, even in January",positive,negative,positive
"Up! Had lunch with the fam, then getting ready and seeing what the day has to offer",positive,positive,positive
"spent the whole day editing in Pro Tools...i luvvv this thing and am becoming quite the pro, but it gives me insane headaches.",negative,negative,negative
"So tired from the VPA show, but whatever, it was all worth it. Everyone's love made it all worth it",positive,positive,positive
Morning all... Just walking down to get a coffee. Shouldve drove down! I can't feel my face with the wind,negative,negative,negative
"Wow, only 92 days left till my big sisters wedding! Can't wait",positive,positive,positive
Im evidently going to be involved with a promotion tomorrow Watch for my pic avatar change,positive,positive,positive
The shampoo/conditioner I bought makes my hair too soft. Normal people would want that but now I can't style my hair the way I want.,negative,negative,negative
@cha_rade about time Kuya John!!!! Geeezzzz!!!!! mwah!!!!,positive,positive,positive
"I'm making some sort of improvement - I'm at 60% now. Okay, so it's not substantial improvement but from 42%, I'm getting somewhere!",positive,positive,positive
